X,Y,Z,Xg,Yg,Zg,time,door landmarks,wall landmarks
164.0,134.0,,182.0,135.0,,4.063899040222168,21,211
173.0,133.0,,192.75,135.0,,6.427718639373779,62,307
188.0,138.0,,203.5,135.0,,4.418751239776611,55,217
199.0,132.0,,214.25,135.0,,2.75351619720459,35,171
211.0,138.0,,225.0,135.0,,1.3053631782531738,32,109
226.0,135.0,,235.75,135.0,,2.584266185760498,49,159
240.0,134.0,,246.5,135.0,,0.5517852306365967,15,111
253.0,131.0,,257.25,135.0,,2.1615819931030273,17,93
262.0,141.0,,268.0,135.0,,22.665559768676758,136,859
265.0,136.0,,268.0,146.0,,29.067523956298828,186,1036
269.0,153.0,,268.0,157.0,,26.187171936035156,187,935
270.0,163.0,,268.0,168.0,,19.00714111328125,123,684
273.0,136.0,,268.0,179.0,,2.038917064666748,36,202
270.0,187.0,,268.0,190.0,,28.30648422241211,147,866
272.0,200.0,,268.0,201.0,,21.786767959594727,143,758
264.0,205.0,,268.0,212.0,,4.565288543701172,32,239
267.0,252.0,,268.0,223.0,,2.9640822410583496,31,236
270.0,238.0,,268.0,234.0,,12.016653060913086,111,443
265.0,239.0,,268.0,245.0,,11.72057056427002,109,457
272.0,256.0,,268.0,256.0,,3.0485117435455322,50,197
270.0,270.0,,268.0,267.0,,7.385302543640137,75,277
267.0,277.0,,268.0,278.0,,2.388167142868042,19,152
266.0,294.0,,268.0,289.0,,6.607404708862305,54,266
270.0,305.0,,268.0,300.0,,7.404075622558594,48,261
270.0,322.0,,268.0,311.0,,18.144290924072266,98,539
272.0,331.0,,268.0,322.0,,5.97918701171875,64,252
268.0,335.0,,268.0,333.0,,0.7168474197387695,17,97
272.0,357.0,,268.0,344.0,,9.34455680847168,52,326
267.0,359.0,,268.0,355.0,,2.842216968536377,29,144
263.0,382.0,,268.0,366.0,,5.676357269287109,46,223
267.0,337.0,,268.0,377.0,,3.447892665863037,16,178
266.0,402.0,,268.0,388.0,,7.8231520652771,58,352
267.0,413.0,,268.0,399.0,,6.653435707092285,39,274
270.0,424.0,,268.0,410.0,,5.1775922775268555,52,270
269.0,435.0,,268.0,421.0,,3.133061408996582,51,232
270.0,450.0,,268.0,432.0,,0.35587239265441895,16,102
271.0,457.0,,268.0,443.0,,5.915599822998047,10,303
270.0,464.0,,268.0,454.0,,0.5753574371337891,10,121
257.0,468.0,,268.0,465.0,,33.26946258544922,143,1018
255.0,472.0,,255.1,465.0,,62.74115753173828,324,1703
243.0,468.0,,242.2,465.0,,35.08937454223633,151,975
224.0,467.0,,229.3,465.0,,33.427154541015625,120,905
220.0,476.0,,216.4,465.0,,50.82202911376953,191,1294
79.0,127.0,,203.5,465.0,,93.7629623413086,450,2618
184.0,469.0,,190.6,465.0,,18.914661407470703,47,510
174.0,468.0,,177.7,465.0,,34.26565933227539,146,988
158.0,468.0,,164.8,465.0,,25.3646183013916,97,705
