X,Y,Z,Xg,Yg,Zg,time,door landmarks,wall landmarks
161.0,140.0,,160.0,135.0,,22.901235580444336,115,648
156.0,136.0,,147.5,135.0,,17.778770446777344,80,477
170.0,135.0,,135.0,135.0,,3.6570513248443604,43,152
125.0,133.0,,122.5,135.0,,12.724762916564941,55,381
113.0,137.0,,110.0,135.0,,9.149252891540527,47,303
99.0,134.0,,97.5,135.0,,7.73832893371582,33,245
85.0,131.0,,85.0,135.0,,5.851366996765137,33,208
71.0,135.0,,72.5,135.0,,2.0368847846984863,22,153
57.0,136.0,,60.0,135.0,,2.0489003658294678,38,146
44.0,134.0,,47.5,135.0,,6.858896255493164,55,230
33.0,133.0,,35.0,135.0,,0.3031456470489502,22,74
17.0,130.0,,22.5,135.0,,4.344573497772217,27,170
12.0,133.0,,10.0,135.0,,7.4856085777282715,51,254
6.0,143.0,,10.0,146.0,,6.682803153991699,53,226
14.0,157.0,,10.0,157.0,,4.421915054321289,50,163
14.0,165.0,,10.0,168.0,,2.782022476196289,63,127
8.0,172.0,,10.0,179.0,,4.062546730041504,47,170
5.0,183.0,,10.0,190.0,,3.212984085083008,43,124
8.0,198.0,,10.0,201.0,,6.099490642547607,46,162
7.0,176.0,,10.0,212.0,,5.58787727355957,30,159
12.0,220.0,,10.0,223.0,,1.9887514114379883,30,98
12.0,224.0,,10.0,234.0,,10.111141204833984,67,258
7.0,241.0,,10.0,245.0,,6.933394432067871,44,198
9.0,250.0,,10.0,256.0,,9.816438674926758,67,235
8.0,267.0,,10.0,267.0,,9.165328025817871,65,271
6.0,278.0,,10.0,278.0,,7.72231388092041,67,248
11.0,286.0,,10.0,289.0,,6.594976902008057,69,236
4.0,299.0,,10.0,300.0,,3.6463494300842285,37,168
5.0,315.0,,10.0,311.0,,9.49948501586914,58,326
11.0,323.0,,10.0,322.0,,8.709299087524414,36,243
10.0,339.0,,10.0,333.0,,52.56686019897461,172,1226
14.0,351.0,,10.0,344.0,,24.975549697875977,86,623
12.0,361.0,,10.0,355.0,,9.373407363891602,62,298
11.0,372.0,,10.0,366.0,,8.75473403930664,54,243
11.0,382.0,,10.0,377.0,,7.62160587310791,61,190
11.0,393.0,,10.0,388.0,,48.468875885009766,173,1102
10.0,407.0,,10.0,399.0,,50.79090118408203,211,1234
7.0,417.0,,10.0,410.0,,19.522390365600586,84,500
8.0,428.0,,10.0,421.0,,7.118486404418945,71,204
2.0,437.0,,10.0,432.0,,10.285760879516602,47,315
11.0,453.0,,10.0,443.0,,51.78244400024414,172,1158
6.0,454.0,,10.0,454.0,,37.91896438598633,134,943
19.0,464.0,,10.0,465.0,,28.287822723388672,85,824
22.0,461.0,,22.9,465.0,,34.50177001953125,117,859
31.0,463.0,,35.8,465.0,,33.88113021850586,130,875
48.0,463.0,,48.7,465.0,,27.49884796142578,78,693
56.0,464.0,,61.6,465.0,,22.097936630249023,89,583
73.0,467.0,,74.5,465.0,,16.832698822021484,49,468
81.0,466.0,,87.4,465.0,,19.237796783447266,71,507
97.0,466.0,,100.3,465.0,,17.261138916015625,82,451
110.0,464.0,,113.2,465.0,,16.438720703125,75,501
126.0,467.0,,126.1,465.0,,11.507304191589355,49,392
139.0,464.0,,139.0,465.0,,7.390861511230469,36,292
152.0,464.0,,151.9,465.0,,5.396389007568359,22,239
161.0,468.0,,164.8,465.0,,5.572567939758301,16,244
178.0,470.0,,177.70000000000002,465.0,,1.3441691398620605,9,131
190.0,468.0,,190.6,465.0,,5.070925712585449,31,199
202.0,471.0,,203.5,465.0,,1.009997844696045,22,102
217.0,459.0,,216.4,465.0,,15.625762939453125,118,448
230.0,460.0,,229.3,465.0,,26.394840240478516,187,655
246.0,461.0,,242.2,465.0,,4.453217506408691,38,218
255.0,463.0,,255.1,465.0,,6.267358303070068,43,238
263.0,456.0,,268.0,465.0,,3.8380656242370605,44,192
267.0,461.0,,268.0,454.0,,12.41195297241211,96,374
264.0,451.0,,268.0,443.0,,15.055511474609375,94,420
264.0,435.0,,268.0,432.0,,7.6334228515625,68,248
270.0,425.0,,268.0,421.0,,0.35764002799987793,36,95
263.0,414.0,,268.0,410.0,,6.054742336273193,48,236
270.0,402.0,,268.0,399.0,,11.23402214050293,61,355
263.0,393.0,,268.0,388.0,,11.960278511047363,88,365
